"cSeason","PlayerName","Age","Pos","AffAbbName","avg_rank"
"2024","Jackson Chourio",19,"cf","MIL",0.455
"2024","Jackson Holliday",19,"ss","BAL",0.7
"2024","Jordan Lawlar",20,"ss","ARI",1.365
"2024","Adael Amador",20,"ss","COL",1.61
"2024","Junior Caminero",19,"3b","TBR",1.89
"2024","James Wood",20,"cf","WSN",1.96
"2024","Ricky Tiedemann",20,"P","TOR",2.15
"2024","Jackson Merrill",20,"ss","SDP",2.975
"2024","Kyle Harrison",21,"P","SFG",3.19
"2024","Jasson Domínguez",20,"cf","NYY",3.255
"2024","Mick Abel",21,"P","PHI",3.27666666666667
"2024","Evan Carter",20,"cf","TEX",3.99
"2024","Carson Williams",20,"ss","TBR",3.99
"2024","Coby Mayo",21,"3b","BAL",4.025
"2024","Brooks Lee",22,"ss","MIN",4.165
"2024","Pete Crow-Armstrong",21,"cf","CHC",4.41
"2024","Tekoah Roby",21,"P","STL",6.05
"2024","AJ Smith-Shawver",20,"P","ATL",6.09333333333333
"2024","Edwin Arroyo",19,"ss","CIN",6.195
"2024","Marcelo Mayer",20,"ss","BOS",6.3
"2024","Colson Montgomery",21,"ss","CHW",6.44
"2024","Ceddanne Rafaela",22,"cf","BOS",6.65
"2024","Gavin Stone",24,"P","LAD",6.7
"2024","Luisangel Acuña",21,"ss","TEX",6.755
"2024","Tink Hence",20,"P","STL",7.13333333333333
"2024","Kevin Alcántara",20,"cf","CHC",7.315
"2024","Curtis Mead",22,"3b","TBR",7.49
"2024","Colt Keith",21,"3b","DET",7.595
"2024","Ty Madden",23,"P","DET",8
"2024","Harry Ford",20,"c","SEA",8.295
"2024","Kristian Robinson",22,"cf","ARI",8.365
"2024","Termarr Johnson",19,"2b","PIT",9.485
"2024","Samuel Basallo",18,"c","BAL",9.59
"2024","Noelvi Marte",21,"ss","CIN",10.115
"2024","Edgar Quero",20,"c","LAA",10.185
"2024","Brayan Rocchio",22,"ss","CLE",10.395
"2024","Jordan Wicks",23,"P","CHC",10.73
"2024","Ronny Mauricio",22,"ss","NYM",11.06
"2024","James Triantos",20,"2b","CHC",11.585
"2024","Marco Luciano",21,"ss","SFG",12.88
"2024","Drew Thorpe",22,"P","NYY",13.3733333333333
"2024","Andy Pages",22,"rf","LAD",13.475
"2024","David Festa",23,"P","MIN",14.1966666666667
"2024","Wilmer Flores",22,"P","DET",14.24
"2024","Thomas Saggese",21,"2b","STL",14.245
"2024","Emmanuel Rodriguez",20,"cf","MIN",14.63
"2024","Nick Yorke",21,"2b","BOS",15.26
"2024","Thayron Liranzo",19,"c","LAD",15.435
"2024","Owen Caissie",20,"rf","CHC",15.505
"2024","Brady House",20,"3b","WSN",15.715
"2024","Carlos F. Rodriguez",21,"P","MIL",15.9733333333333
"2024","Kyle Manzardo",22,"1b","TBR",16.485
"2024","Miguel Bleis",19,"cf","BOS",16.765
